sku,price,price_tienda,price_tarjeta,retail,date,time
K0000000569,24.8,27.0,,vivanda,2022-08-21,23:00
K0000000568,24.8,27.0,,vivanda,2022-08-21,23:00
K0000000567,24.8,27.0,,vivanda,2022-08-21,23:00
K0000000463,19.0,23.6,,vivanda,2022-08-21,23:00
K0000000467,19.0,23.6,,vivanda,2022-08-21,23:00
K0000000283,44.9,50.9,,vivanda,2022-08-21,23:00
K0000000265,124.9,130.9,,vivanda,2022-08-21,23:00
K0000000284,31.9,37.9,,vivanda,2022-08-21,23:00
K0000000193,14.9,17.2,,vivanda,2022-08-21,23:00
K0000000192,,16.6,,vivanda,2022-08-21,23:00
K0000000213,14.9,17.2,,vivanda,2022-08-21,23:00
K0000000207,14.9,17.2,,vivanda,2022-08-21,23:00
K0000000199,14.9,17.2,,vivanda,2022-08-21,23:00
K0000000198,,16.6,,vivanda,2022-08-21,23:00
K0000000212,,16.6,,vivanda,2022-08-21,23:00
517409,11.8,,,metro,2022-08-21,23:00
65761,5.9,7.9,,metro,2022-08-21,23:00
388713,8.0,,,metro,2022-08-21,23:00
772389,9.9,10.8,,metro,2022-08-21,23:00
148357,20.2,,,metro,2022-08-21,23:00
969014,8.0,,,metro,2022-08-21,23:00
703743,1.2,,,metro,2022-08-21,23:00
889646,8.9,9.9,,metro,2022-08-21,23:00
66880,5.9,,,metro,2022-08-21,23:00
499900,9.5,,,metro,2022-08-21,23:00
465585,5.5,5.9,,metro,2022-08-21,23:00
447275,2.15,,,metro,2022-08-21,23:00
63807,8.5,,,metro,2022-08-21,23:00
62288,7.5,,,metro,2022-08-21,23:00
953914,8.0,,,metro,2022-08-21,23:00
942303,10.8,,,metro,2022-08-21,23:00
889645,10.5,,,metro,2022-08-21,23:00
716268,4.7,,,metro,2022-08-21,23:00
710504,5.5,,,metro,2022-08-21,23:00
134963,6.0,,,metro,2022-08-21,23:00
103181,2.2,,,metro,2022-08-21,23:00
13188,2.15,,,metro,2022-08-21,23:00
944474,7.5,,,metro,2022-08-21,23:00
