description,sku,retail,uri,price_type
Gaseosa Coca Cola Botella 500ml,3814,wong,https://www.wong.pe/gaseosa-coca-cola-botella-500ml-3814/p,tienda
Gaseosa Coca Cola Sin Azúcar Botella 1 Lt,716269,wong,https://www.wong.pe/gaseosa-coca-cola-sin-azucar-botella-1-lt-716269/p,tienda
Gaseosa Inca Kola Botella 1 Lt,534755,wong,https://www.wong.pe/gaseosa-inca-kola-botella-1-lt/p,tienda
Gaseosa Inca Kola Sin Azúcar Botella 500ml,501573,wong,https://www.wong.pe/gaseosa-inca-kola-sin-azucar-botella-500ml-501573/p,tienda
Gaseosa Crush Naranja Botella 3 Lt,62760,wong,https://www.wong.pe/gaseosa-crush-naranja-botella-3-lt-62760/p,tienda
Gaseosa Schweppes Ginger Ale Botella 1.5L,436342,wong,https://www.wong.pe/gaseosa-schweppes-ginger-ale-botella-1-5l-436342/p,tienda
Gaseosa Coca Cola Botella 3 Lt,45035,wong,https://www.wong.pe/gaseosa-coca-cola-botella-3-lt-45035/p,tienda
Gaseosa Sprite Botella 500ml,13189,wong,https://www.wong.pe/gaseosa-sprite-botella-500ml-13189/p,tienda
Gaseosa Fanta Kola Inglesa Botella 3 Lt,447276,wong,https://www.wong.pe/gaseosa-fanta-kola-inglesa-botella-3-lt-447276/p,tienda
Gaseosa Pepsi + 7Up + Concordia Sabor Piña Pack 3 Botellas de 3 L c/u,772062,wong,https://www.wong.pe/gaseosa-pepsi-7up-concordia-sabor-pina-pack-3-botellas-de-3-l-c-u/p,tienda
Gaseosa Guarana Botella 450ml,749566,wong,https://www.wong.pe/gaseosa-guarana-botella-450ml-749566/p,tienda
Gaseosa Pepsi Botella x 750 ml,422251,wong,https://www.wong.pe/gaseosa-pepsi-botella-x-750-ml-422251/p,tienda
Gaseosa Inca Kola Botella 3 Lt,45190,wong,https://www.wong.pe/gaseosa-inca-kola-botella-3-lt-45190/p,tienda
Minions Pistola Gaseosa Súper Torpedo,782572,wong,https://www.wong.pe/minions-pistola-gaseosa-super-torpedo-782572/p,tienda
Combo 6 Empanadas de Carne Wong + Gaseosa 1.5 Litros,889683,wong,https://www.wong.pe/combo-6-empanadas-de-carne-wong-gaseosa-1-5-litros/p,tienda
Combo 6 Empanadas de Pollo Wong + Gaseosa 1.5 Litros,889682,wong,https://www.wong.pe/combo-6-empanadas-de-pollo-wong-gaseosa-1-5-litros/p,tienda
Pack 2 Gaseosa Coca Cola Pet 2.5 L,953915,wong,https://www.wong.pe/pack-2-gaseosa-coca-cola-pet-2-5-l-953915-2/p,tienda
Pack 2 Gaseosa Inca Kola Pet 2.5 L,953916,wong,https://www.wong.pe/pack-2-gaseosa-inca-kola-pet-2-5-l-953916-2/p,tienda
Combo 4 Empanadas de Pollo Wong + Gaseosa 1.5 Litros,889678,wong,https://www.wong.pe/combo-4-empanadas-de-pollo-wong-gaseosa-1-5-litros/p,tienda
Combo 4 Empanadas de Carne Wong + Gaseosa 1.5 Litros,889679,wong,https://www.wong.pe/combo-4-empanadas-de-carne-wong-gaseosa-1-5-litros/p,tienda
Pack x3 Gaseosa: Concordia Fresa 3L + Concordia Piña 3L + Pepsi 3L,904720,wong,https://www.wong.pe/pack-x3-gaseosa-concordia-fresa-3l-concordia-pina-3l-pepsi-3l-904720-2/p,tienda
Ron Kingston62 Gold Botella 750 ml + Gaseosa Coca Cola Botella 1.5 Lt,923936,wong,https://www.wong.pe/ron-kingston62-gold-botella-750-ml-gaseosa-coca-cola-botella-1-5-lt-923936/p,tienda
Ron Kingston62 White Botella 750 ml + Gaseosa Coca Cola Botella 1.5 Lt,923937,wong,https://www.wong.pe/ron-kingston62-white-botella-750-ml-gaseosa-coca-cola-botella-1-5-lt-923937/p,tienda
Pepsi Black Botella 355ml,710502,wong,https://www.wong.pe/pepsi-black-botella-355ml-710502/p,tienda
Mix de Gaseosas: Coca Cola + Inca Kola Botella 3 Lt,317712,wong,https://www.wong.pe/mix-de-gaseosas-coca-cola-inca-kola-botella-3-lt-317712/p,tienda
Mix de Gaseosas: Coca Cola + Inca Kola Botella 3 Lt,949133,wong,https://www.wong.pe/mix-de-gaseosas-coca-cola-inca-kola-botella-3-lt-949133/p,tienda
Mix de Gaseosas: Coca Cola + Inca Kola Botella 3 Lt,722253,wong,https://www.wong.pe/mix-de-gaseosas-coca-cola-inca-kola-botella-3-lt-722253-2/p,tienda
Mix de Gaseosas: Coca Cola + Inca Kola + Fanta Botella 3 Lt,709559,wong,https://www.wong.pe/mix-de-gaseosas-coca-cola-inca-kola-fanta-botella-3-lt-709559/p,tienda
Mix de Gaseosas: Fanta Naranja + Fanta Kola Inglesa + Sprite Botella 3 L,792355,wong,https://www.wong.pe/mix-de-gaseosas-fanta-naranja-fanta-kola-inglesa-sprite-botella-3-l/p,tienda
Gaseosa Sabor ReguLar 500 ml PEPSI   BOTELLA 500 ML,10456593,tottus,https://www.tottus.com.pe/pepsi-gaseosa-10456593/p/,tienda
Gaseosa Sabor ReguLar Lata 355 ml SPRITE   LATA 355 ML,40165682,tottus,https://www.tottus.com.pe/sprite-gaseosa-40165682/p/,tienda
Gaseosa Sabor ReguLar 2 L GUARANA   BOTELLA 2 LT,40475131,tottus,https://www.tottus.com.pe/guarana-gaseosa-vitaminizada-40475131/p/,tienda
Gaseosa Evervess Ginger Ale 500 ml EVERVESS   BOTELLA 500 ML,40619679,tottus,https://www.tottus.com.pe/evervess-gaseosa-40619679/p/,tienda
Gaseosa Sabor ReguLar 3 L SPRITE   BOTELLA 3 LT,20081314,tottus,https://www.tottus.com.pe/sprite-sprite-3--lt-nr-sprie-20081314/p/,tienda
Gaseosa Sabor ReguLar Sin Azúcar 500 ml SPRITE   BOTELLA 500 ML,20038103,tottus,https://www.tottus.com.pe/sprite-gaseosa-zero-20038103/p/,tienda
Gaseosa Evervess Ginger Ale 1.5 L EVERVESS   BOTELLA 1.5 LT,40844765,tottus,https://www.tottus.com.pe/evervess-gaseosa-ginger-ale-40844765/p/,tienda
Gaseosa Sabor FReservaa Fanta 3 L FANTA   BOTELLA 3 LT,40723206,tottus,https://www.tottus.com.pe/fanta-fanta-kola-inglesa-x-3-l-40723206/p/,tienda
Gaseosa Sabor Piña 3 L FANTA   BOTELLA 3L,42529463,tottus,https://www.tottus.com.pe/fanta-bebida-gaseosa-fanta-pina-botella-x-3l-42529463/p/,tienda
Gaseosa Sabor Piña 500 ml FANTA   BOTELLA 500 ML,41462556,tottus,https://www.tottus.com.pe/fanta-bebida-gaseosa-fanta-pina-botella-x-500ml-41462556/p/,tienda
Gaseosa Sabor BLack 3 L PEPSI   BOTELLA 3 LT,41660796,tottus,https://www.tottus.com.pe/pepsi-gaseosa-black-41660796/p/,tienda
Gaseosa Sabor ReguLar 500 ml INCA KOLA   BOTELLA 500 ML,10174358,tottus,https://www.tottus.com.pe/inca-kola-gaseosa-10174358/p/,tienda
